Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
Nº 231,20-Feb-13,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Conforlimpa Tejo, Ldª   (Hospital Viseu)",81210,,,07-Mar-13,07-Mar-13,,2013,2
217,21-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"CARRISBUS-MANUTENÇÃO, REPARAÇÃO E TRANSPORTES,S.A.",45200,,Empresa,07-Mar,,Plenário das 8:00 às 17:30,2013,2
218,21-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,07-Mar,,Plenário das 8:00 às 17:30,2013,2
219,21-Feb,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100/49200,,2 Empresas,04-Mar,04-Apr,,2013,2
216,21-Feb,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","IBEROL - SOCIEDADE IBÉRICA DE BIOCOMBUSTÍVEIS E OLEAGINOSAS, SA",20591,,Empresa,01-Mar,,,2013,2
228,22-Feb,STIM - Sindicato dos Trabalhadores da Indústria Mineira,Sojitz Beralt (Minas da Panasqueira),07290,,Empresa,07-Mar,,,2013,2
Nº 238,21-Feb-13,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Conforlimpa Tejo, Limpezas Industriais, S.A. - (na Faculdade de Economia em Coimbra)",81210,,Empresa,01-Mar-13,01-Mar-13,Greve com a duração de 24 horas,2013,2
417,04-Apr,SPBC - Sindicato dos Profissionais de Banca dos Casinos,"Varzim-SOL, SA - Salas de jogo do Casino da Póvoa do Varzim",92000,,Empresa,01-Mar,TI,Não deu entrada o APG. Rectificação enviada a 21/3,2013,2
246,27-Feb,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","DAN CAKE (PORTUGAL), SA ",10720,,Empresa,04-Mar,,,2013,2
247,27-Feb,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"JCDecaux (Portugal) -Mobiliário Urbano e Publicidade, Lda.",73110,,Empresa,05-Mar,06-Mar,SUSPENSÃO a 1-3-13,2013,2
242,26-Feb,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","Saint Gobain Sekurit Portugal-VIDRO AUTOMÓVEL, S.A.",23120,,Empresa,05-Mar,11-Mar,Vários turnos diferentes,2013,2
248 e Nº 266,27-Feb,SEP - Sindicato dos Enfermeiros Portugueses,"CENTRO HOSPITALAR DO BAIXO VOUGA, E.P.E. (Enfermeiros com contrato individual de trabalho)",86100,,FP,14-Mar,,Turno da manhã,2013,2
255,28-Feb,STML - Sindicato dos Trabalhadores do Município de Lisboa,"Trabalhadores do Município de Lisboa, com exceção ao Regimento de Sapadores Bombeiros, incluindo empresas municipais, multimunicipais, fundações e outras.",n,,FP,15-Mar,,Greve entre as 13:00 eas 20:00,2013,2
Nº 262,28-Feb-13,SEP - Sindicato dos Enfermeiros Portugueses ,"Instituto Português de Oncologia de Coimbra,  EPE (Enfermeiros com Contrato Individual de Trabalho)",86903,,FP,14-Mar-13,14-Mar-13,Outra / Turno da Manhã,2013,2
256,28-Feb,SINFB - Sindicato Independente Nacional dos Ferroviários,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,08-Mar,30-Jun,"Dia 8/3 todo o dia. Entre 1/4 e 30/6 ao trabalho extraordinário, dias de descanso e feriados",2013,2
,28-Feb,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - SINDICATO DOS TRABALHADORES DA MARINHA MERCANTE, AGÊNCIAS DE VIAGENS, TRANSITÁRIOS E PESCA","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,04-Mar,,Plenário entre as 13:55H e as 15:55H,2013,2
257,28-Feb,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Todos os trabalhadores da Administração Local e Regional,84112 / 84113,,FP,15-Mar,,,2013,2
Nº 276,04-Mar-13,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,"Resiestrela - Valorização e Tratamento de Resíduos Sólidos, S.A.",38212,,Empresa,15-Mar-13,15-Mar-13,,2013,2
Nº 265,28-Feb-13,SEP - Sindicato dos Enfermeiros Portugueses ,"Hospital Distrital da Figueira da Foz,  EPE (Enfermeiros com Contrato Individual de Trabalho)",86903,,FP,14-Mar-13,14-Mar-13,Outra / Turno da Manhã,2013,2
264,01-Mar,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","IBEROL - SOCIEDADE IBÉRICA DE BIOCOMBUSTÍVEIS E OLEAGINOSAS, SA",20591,,Empresa,11-Mar,28-Mar,Greve de 2 horas por turno,2013,3
266,04-Mar,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"ACP - SERVIÇOS DE ASSISTÊNCIA, LDA",82990,,Empresa,16-Mar,30-Apr,,2013,3
267-2,04-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"MANPOWERGROUP SOLUTIONS, UNIPESSOAL LDA",70220,,Empresa,12-Mar,,,2013,3
267-2,04-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"MANPOWER PORTUGAL - EMPRESA DE TRABALHO TEMPORÁRIO, S.A.",78200,,Empresa,12-Mar,,,2013,3
270 e Nº292,04-03-2013 e 7-3-2013,STSTBB - Sindicato dos Trabalhadores do Sector Têxtil da Beira Baixa,UNIDECO-INDUSTRIA E COMERCIO DE CONFECÇÕES LDA,14131,,Empresa,11-Mar,TI,,2013,3
268,04-Mar,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"MTS - Metro, Transportes do Sul, SA",49310,,Empresa,16-Mar,30-Apr,,2013,3
276,05-Mar,SQAC - Sindicato dos Quadros da Aviação Civil,"TAP - TRANSPORTES AÉREOS PORTUGUESES, SGPS, SA / TAP - TRANSPORTES AÉREOS PORTUGUESES, SA",64202 / 51100,,2 Empresas,21-Mar,23-Mar,,2013,3
286,05-Mar,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",CONFORLIMPA (TEJO) - MULTISERVIÇOS S.A.,81210,,Empresa,25-Mar,,,2013,3
269,04-Mar,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,TAP Portugal / Lojas Francas / PGA / Sata Intenacional / Sata Air Açores e Sata Gestão de Aeródromos     /UCS?/Megasis?,n,,6 Empresas,20-Mar,24-Mar,,2013,3
275-4,04-Mar,SNPVAC - Sindicato Nacional do Pessoal de Voo da Aviação Civil,TAP Portugal / Portugália Airlines / Sata Intenacional / Sata Air Açores ,n,,4 Empresas,21-Mar,23-Mar,,2013,3
275-4,04-Mar,SITEMA - Sindicato dos Técnicos de Manutenção de Aeronaves, Técnicos de Manutenção de Aeronaves associados ao SITEMA da TAP,n,,Empresa,21-Mar,23-Mar,,2013,3
275-4,04-Mar,SITEMA - Sindicato dos Técnicos de Manutenção de Aeronaves, Técnicos de Manutenção de Aeronaves associados ao SITEMA da Sata Internaional ,n,,Empresa,21-Mar,23-Mar,,2013,3
275-4,04-Mar,SITEMA - Sindicato dos Técnicos de Manutenção de Aeronaves, Técnicos de Manutenção de Aeronaves associados ao SITEMA da Portugália,n,,Empresa,21-Mar,23-Mar,,2013,3
285,05-Mar,SPAC - Sindicato dos Pilotos da Aviação Civil,Pilotos  associados ao SPAC da Companhia EasyJet,51100,,Empresa,21-Mar,,,2013,3
Nº 284,05-Mar-13,SEP - Sindicato dos Enfermeiros Portugueses,"Centro Hospitalar da Cova da Beira,  EPE (Enfermeiros com Contrato Individual de Trabalho)",,,FP,19-Mar-13,19-Mar-13,,2013,3
Nº 285,05-Mar-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","MIM - Metalúrgica Ideal do Mondego, S.A.",,,Empresa,12-Mar-13,14-Mar-13,"
Ent. Nº 321 de 13-03-2013 - Suspensão da greve",2013,3
277,05-Mar,SINTAC - Sindicato Nacional dos Trabalhadores da Aviação Civil,TAP Portugal / Megasis / Lojas Francas de Portugal,,,3 Empresas,21-Mar,23-Mar,,2013,3
278,05-Mar,SIMA - Sindicato das Indústrias Metalúrgicas e Afins,Grupo TAP,,,Empresa,21-Mar,21-Mar,,2013,3
279,05-Mar,SPAC - Sindicato dos Pilotos da Aviação Civil,TAP Portugal / PGA / SATA Internacional / SATA Air Açores,,,4 Empresas,21-Mar,23-Mar,Cancelado em 21/3 dias 21 a 23/3,2013,3
280,05-Mar,STHA - Sindicato dos Técnicos de Handling de Aeroportos,TAP Portugal ,,,Empresa,21-Mar,23-Mar,,2013,3
287,05-Mar,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa","Trabalhadores civis das Forças Armadas, Estabelecimentos Fabris, Academias, Institutos e todos os locais de trabalho onde empreguem trabalhadores civis na dependência das Forças Armadas e dos seus ramos, incluindo todas as filiais, sucursais e departamentos.",n,,FP,14-Mar,,,2013,3
300,08-Mar,SE - Sindicato dos Economistas,"TAP - TRANSPORTES AÉREOS PORTUGUESES, SGPS, SA",64203 (51100),,Empresa,21-Mar,23-Mar,,2013,3
288,05-Mar,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa",Arsenal do Alfeite,33150,,FP,15-Mar,,Entre as 13:00 e as 24:00,2013,3
289,05-Mar,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","SGSP - Saint Gobain Sekurit Portugal, SA",23120,,Empresa,13-Mar,16-Mar,Em determinados horários,2013,3
Nº 279,05-Mar-13,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE","Solnave, S.A",,,Empresa,14-Mar-13,14-Mar-13,Ent. Nº290 de 06-03-2013 - Suspensão da greve.,2013,3
Nº 296,07-Mar-13,SEP - Sindicato dos Enfermeiros Portugueses,"Unidade Local Saúde de Castelo Branco,  EPE (Enfermeiros com Contrato Individual de Trabalho)",,,FP,20-Mar-13,20-Mar-13,,2013,3
290,06-Mar,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações  /  STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes / SITESE - Sindicato dos Trabalhadores e Técnicos de Serviços,Metropolitano de Lisboa - EPE,49310,,Empresa,20-Mar,,"Greve entre as 5 e as 10H para a generalidade dos trab. e entre as 8:30 e as 13:30H para trab. Administrativos, apoio e técnicos superiores",2013,3
291,06-Mar,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","VANPRO, ASSENTOS LDA",29320,,Empresa,13-Mar,,DESCONVOCADA em 7-3 (Entre as 11:30 E AS 19:30),2013,3
295,06-Mar,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","PRINTER PORTUGUESA-INDUSTRIA GRAFICA, S.A.",18120,,Empresa,14-Mar,20-Mar,Greve de 1 hora no final de cada turno,2013,3
296,08-Mar,SERS - Sindicato dos Engenheiros,"TAP - TRANSPORTES AÉREOS PORTUGUESES, SGPS, SA",64202 (51100),,Empresa,21-Mar,23-Mar,,2013,3
297,08-Mar,SICONT - Sindicato dos Contabilistas,"TAP - TRANSPORTES AÉREOS PORTUGUESES, SGPS, SA",64203 (51100),,Empresa,21-Mar,23-Mar,,2013,3
301,08-Mar,"SNEET - Sindicato Nacional dos Engenheiros, Engenheiros Técnicos e Arquitectos","TAP - TRANSPORTES AÉREOS PORTUGUESES, SGPS, SA",64204 (51100),,Empresa,21-Mar,23-Mar,DESCONVOCADA em 21-3 ,2013,3
Nº 297,07-Mar-13,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",,,Empresa,21-Mar-13,,Nº 382 de 28-03-2013 - Desconvocação da Greve.,2013,3
299,08-Mar,FENPROF - Federação Nacional dos Professores ,"Docentes de todos os níveis de educação e de ensino, investigadores e trabalhadores científicos",n,,FP,15-Mar,,,2013,3
298,08-Mar,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"TST - Transportes Sul do Tejo, SA",49310,,Empresa,07-Mar,30-Apr,Dias feriados,2013,3
318,11-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","SIDUL AÇUCARES, UNIPESSOAL LDA",10810,,Empresa,15-Mar,30-Jun,,2013,3
Nº 302,08-Mar-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Fábrica  Papel Cartão  Zarrinha, S.A",,,Empresa,04-Apr-13,25-Apr-13,"Greve nos dias: 4, 11, 18 e 25 de Abril de 2013 ( turnos, das 22 horas às 24.00 horas)",2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Anacom,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Cabovisão,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,CTT,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Optimus,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,PT Comunicações,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"PT SGPS, SA",,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Rádio e Televisão Portuguesa SGPS, SA",,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,RTP,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Sonaecom,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Vodafone,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Açores,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Lusomundo Audiovisuais,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Lusomundo Cinemas,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Multimédia,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Tv Cabo,,,Empresa,01-Apr,31-Dec,,2013,3
319-16,11-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Zon Tv Cabo Madeirense,,,Empresa,01-Apr,31-Dec,,2013,3
Nº 311,12-Mar-13,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Vadeca Ambiente,  S.A. - ( Local de trabalho STCP - Francos Porto e Via Norte)",,,Empresa,26-Mar-13,28-Mar-13,"Greve do turno da noite no período das 19h do dia 26-03-2013, às 07h do dia 28-03-2013",2013,3
321,11-Mar,STE - Sindicato dos Trabalhadores de Espectáculos,"Tratro Nacional de S. Carlos, EPE (Trab. Da secção de Maquinistas)",90010,,Empresa,19-Mar,TI,,2013,3
323 e Nº 310,12-Mar,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,Todos os jovens até aos 35 anos trabalhadores da Administração Local e Regional,,,FP,27-Mar,,,2013,3
324,12-Mar,"STICCS SRA - Sindicato dos Trabalhadores das Indústrias de Cêramica, Cimentos e Similares do Sul e Regiões Autónomas","RAUSCHERT PORTUGUESA - PORCELANAS TÉCNICAS, SA",23440,,Empresa,19-Mar,TI,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Geral de Depósitos, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa - Banco de Investimentos, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa - Imobiliário, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Capital - Sociedade Capital de Risco, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Leasing e Factoring - IFIC, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixagest - Téc. Gestão de Fundos, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixanet - Telemática e Comunicações, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixatec - Tecnologias Comunicação, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cares - Companhia de Seguros, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cares Multiassistance, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cetra - Centro Técnico Reparação Automóvel, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"CGD Pensões - Soc. Gest. Fundos de Pensões, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Fidelidade -Companhia de Seguros, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Companhia Portuguesa de Resseguros, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Credip - Instituição Financeira Crédito, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"E.A.P.S. - Emp. Análise, Prevenção e Segurança, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"EPS - Gestão de Sistemas de Saúde, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Fidelidade -Mundial, Sociedade Gestão e Invest. Imobiliário, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,Fundação Caixa Geral de Depósitos - Culturgest,,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,Fundger,,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"GEP - Gestão Peritagens Automóveis, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Imocaixa - Gestão Imobiliária, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Multicare - Seguros de Saúde, SA",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo - Compras e Serviços Partilhados, ACE",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo - Sistemas de Informação, ACE",,,Empresa,26-Mar,,,2013,3
331-28,12-Mar,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Sogrupo IV - Gestão de Imóveis, ACE",,,Empresa,26-Mar,,,2013,3
