Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
445,16-Apr,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"CARRISBUS-MANUTENÇÃO, REPARAÇÃO E TRANSPORTES,S.A.",45200,,Empresa,21-Apr,,,2014,4
Nº 285,17-Apr,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,08-May-14,29-May-14,"Greve dias 8, 15, 22 e 29-5 entre as 22 e as 24H",2014,4
448,21-Apr,"STICCS SRA - Sindicato dos Trabalhadores das Indústrias de Cêramica, Cimentos e Similares do Sul e Regiões Autónomas","POSTEJO - Pré-fabricados de Cimento, SA",23610,,Empresa,28-Apr,TI,,2014,4
450,21-Apr,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Estabelecimento Prisional de Vale dos Judeus,84240,,FP,28-Apr,02-May,,2014,4
453,22-Apr,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,07-May,08-May,,2014,4
454,22-Apr,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Trabalhadores da Administração Local e Regional,8411,,FP,09-May,,,2014,4
455,22-Apr,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário  / SIOFA - Sindicato Independente dos Operacionais Ferroviários e Afins  / SNAQ - Sindicato Nacional dos Quadros Técnicos / SENSIQ - Sindicato de Quadros Técnicos / SINFB - Sindicato Nacional dos Ferroviários Braçais e Afins,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,,,,2014,4
456,22-Apr,"FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário  / SINAFE - Sindicato Nacional dos Ferroviários do Movimento e Afins  / SINFA - Sindicato Nacional de Ferroviários e Afins / SINDEFER - Sindicato Nacional Democrático da Ferrovia  /  SINFESE - Sindicato Nacional dos Ferroviários Administrativos, Técnicos e de Serviços / SIOFA - Sindicato Independente dos Operacionais Ferroviários e Afins  / SNAQ - Sindicato Nacional dos Quadros Técnicos / SENSIQ - Sindicato de Quadros Técnicos / SINFB - Sindicato Nacional dos Ferroviários Braçais e Afins","REFER - Rede Ferroviária Nacional, EPE / REFER ENGINEERING / REFER Telecom / REFER PatrimónioSA ",71120  / 61100  / 68200 / 52211 ,,4 empresas,,,,2014,4
Nº 293,22-Apr,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB CAMAC-COMPANHIA NACIONAL DE BORRACHAS, SA",22111,,Empresa,30-Apr,TI,CANCELADA dia 17-4 entrada nº 292,2014,4
461,24-Apr,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","Unicer Bebidas, SA",11050,,Empresa,01-May,,,2014,4
