Nome_Org;Website
ASSOCIAÇAO SINDICAL DOS FUNCIONÁRIOS DE INVESTIGAÇÃO CRIMINAL DA POLÍCIA JUDICIÁRIA (ASFIC/PJ);https://asficpj.pt/
SINDICATO NACIONAL DE ESTÉTICA PROFISSIONAL;https://pt-pt.facebook.com/pages/category/Nonprofit-Organization/Associacao-nacional-de-esteticismo-profissional-170992346278599/
SINDICATO DOS TRABALHADORES EM FUNÇÕES PÚBLICAS E SOCIAIS DO SUL E REGIÕES AUTÓNOMAS;http://www.stfpssra.pt/
SINDICATO DOS TRABALHADORES DA MARINHA MERCANTE, AGÊNCIAS DE VIAGENS, TRANSITÁRIOS E PESCA;http://www.simamevip.pt/
SINDICATO DAS ARTES E ESPECTÁCULO;http://www.cena-ste.org/
SINDICATO DOS TRABALHADORES DAS DELEGAÇÕES DO INSTITUTO DO COMÉRCIO EXTERNO PORTUGUÊS NO ESTRANGEIRO;http://portugalglobal.pt/PT/Internacionalizar/FAQ
SINDICATO PORTUGUES DOS PSICOLOGOS;http://www.snp.pt/
SINDICATO NACIONAL DOS TRABALHADORES DAS INDÚSTRIAS DE BEBIDAS;http://sindicatos.cgtp.pt/sintab/
SINDICATO NACIONAL FERROVIÁRIO DO PESSOAL DE TRENS;https://empresite.jornaldenegocios.pt/SITRENS-SINDICATO-NACIONAL-FERROVIARIO-PESSOAL-TRENS-LISBOA.html
SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE CARNES DO SUL;http://www.cgtp.pt/contactos/232-lisboa/55-sindicato-dos-trabalhadores-da-industria-e-comercio-de-carnes-do-sul
SINDICATO UNIDADE DOS PROFESSORES;https://sindicatostop.pt/
FEDERAÇAO NACIONAL DOS SINDICATOS DA CONSTRUÇÃO CIVIL;http://sindicatos.cgtp.pt/feviccom/
SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, CARTONAGEM E AFINS - ZONA SUL;http://cdi.upp.pt/cgi-bin/mostraalpha.py?doc=15650
SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CERÂMICA, CIMENTOS E SIMILARES DOS DISTRITOS DE LISBOA, SANTARÉM E PORTALEGRE;http://www.cgtp.pt/contactos/232-lisboa/56-sindicato-dos-trabalhadores-das-industrias-de-ceramica-cimentos-e-similares-construcao-madeiras-marmores-e-corticas-do-sul-e-regioes-autonomas
SINDICATO DOS OPERÁRIOS DA INDÚSTRIAIS DE MÁRMORES, CANTARIAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE LISBOA;https://dspace.uevora.pt/rdpc/bitstream/10174/19831/1/sindicalismo%20da%20industria%20marmores.pdf
SINDICATO DOS CONFERENTES DE CARGAS MARÍTIMAS DE IMPORTAÇAO E EXPORTAÇAO DOS DISTRITOS DE LISBOA E SETÚBAL;https://empresite.jornaldenegocios.pt/SINDICATO-CONFERENTES-CARGAS-MARITIMAS-IMPORTACAO-EXPORTACAO-DISTRITOS-LISBOA-SETUBAL-LISBOA.html
FEDERAÇAO DOS SINDICATOS DA QUÍMICA, FARMACÊUTICA, PETRÓLEO E GÁS;https://www.fiequimetal.pt/index.php/sobre-nos
FEDERAÇAO DOS SINDICATOS DA HOTELARIA E TURISMO DE PORTUGAL;http://sindicatos.cgtp.pt/fesaht/
SINDICATO DOS CAPITÃES, OFICIAIS PILOTOS, COMISSÁRIOS E ENGENHEIROS DA MARINHA MERCANTE;http://www.oficiaismar.pt/
SINDICATO DA MESTRANÇA E MARINHAGEM DE CAMARAS DA MARINHA MERCANTE;https://www.dnb.com/business-directory/company-profiles.SINDICATO_DA_MESTRAN%C3%87A_E_MARINHAGEM_DE_C%C3%82MARAS_DA_MARINHA_MERCANTE.efdebe3e1b7b19368254f555717f14d2.html
ASSOCIAÇAO SINDICAL DOS FUNCIONÁRIOS TÉCNICOS, ADMINISTRATIVOS, AUXILIARES E OPERÁRIOS DA POLÍCIA JUDICIÁRIA;http://www.asftaopj.org/
SINDICATO DOS QUADROS DA AVIAÇÃO COMERCIAL;http://sqac.pt/
SINDICATO NACIONAL DOS TRABALHADORES DA INDÚSTRIA FARMACÊUTICA;http://www.sindeq.pt/cct-industria-farmaceutica/
SINDICATO DOS QUADROS E TÉCNICOS DE DESENHO;http://www.cgtp.pt/contactos/232-lisboa/119-sindicato-dos-quadros-e-tecnicos-de-desenho-sqtd
CGTPIN;http://www.cgtp.pt/
SINDICATO DE POLICIA PELA ORDEM E LIBERDADE;https://www.sppol-psp.pt/home
UNIÃO DOS SINDICATOS INDEPENDENTES;https://www.usi.pt/
SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS;https://www.facebook.com/Sindicato.SETAAB/
SINDICATO NACIONAL DOS MÉDICOS VETERINÁRIOS;https://www.snmv.pt/
SINDICATO DA CARREIRA DE INVESTIGAÇÃO E FISCALIZAÇÃO DO SERVIÇO DE ESTRANGEIROS E FRONTEIRAS;http://www.scif.pt/
